cv2,adi,category,percent_gap_BO,category_name
0,1,7,0,No AM/Dist/Cent
0,1.2,7,0,No AM/Dist/Cent
0,1.4,7,0,No AM/Dist/Cent
0,1.6,7,0,No AM/Dist/Cent
0,1.8,6,0,Dist/Cent
0,2,6,0,Dist/Cent
0,2.2,6,0,Dist/Cent
0,2.4,7,0,No AM/Dist/Cent
0,2.6,6,0,Dist/Cent
0,2.8,6,0,Dist/Cent
0,3,6,0,Dist/Cent
0,3.2,6,0,Dist/Cent
0,3.4,6,0,Dist/Cent
0,3.6,6,0,Dist/Cent
0,3.8,6,0,Dist/Cent
0,4,6,0,Dist/Cent
0,4.2,6,0,Dist/Cent
0,4.4,6,0,Dist/Cent
0,4.6,6,0,Dist/Cent
0,4.8,6,0,Dist/Cent
0,5,6,0,Dist/Cent
0.25,1,7,0,No AM/Dist/Cent
0.25,1.2,7,0,No AM/Dist/Cent
0.25,1.4,7,0,No AM/Dist/Cent
0.25,1.6,6,0,Dist/Cent
0.25,1.8,6,0,Dist/Cent
0.25,2,6,0,Dist/Cent
0.25,2.2,6,0,Dist/Cent
0.25,2.4,6,0,Dist/Cent
0.25,2.6,6,0,Dist/Cent
0.25,2.8,6,0,Dist/Cent
0.25,3,6,0,Dist/Cent
0.25,3.2,6,0,Dist/Cent
0.25,3.4,6,0,Dist/Cent
0.25,3.6,2,0,Distributed
0.25,3.8,2,0,Distributed
0.25,4,2,-1,Distributed
0.25,4.2,2,-1,Distributed
0.25,4.4,2,-1,Distributed
0.25,4.6,2,-1,Distributed
0.25,4.8,2,-1,Distributed
0.25,5,2,-1,Distributed
0.45,1,7,0,No AM/Dist/Cent
0.45,1.2,6,0,Dist/Cent
0.45,1.4,6,0,Dist/Cent
0.45,1.6,6,0,Dist/Cent
0.45,1.8,6,0,Dist/Cent
0.45,2,6,0,Dist/Cent
0.45,2.2,6,0,Dist/Cent
0.45,2.4,6,0,Dist/Cent
0.45,2.6,2,0,Distributed
0.45,2.8,2,0,Distributed
0.45,3,6,0,Dist/Cent
0.45,3.2,2,0,Distributed
0.45,3.4,2,-1,Distributed
0.45,3.6,2,-1,Distributed
0.45,3.8,2,-1,Distributed
0.45,4,2,-0.662120856,Distributed
0.45,4.2,2,-1,Distributed
0.45,4.4,2,-0.730237913,Distributed
0.45,4.6,2,-0.747663551,Distributed
0.45,4.8,2,-0.66201674,Distributed
0.45,5,2,-0.731052244,Distributed
0.65,1,6,0,Dist/Cent
0.65,1.2,6,0,Dist/Cent
0.65,1.4,6,0,Dist/Cent
0.65,1.6,6,0,Dist/Cent
0.65,1.8,6,0,Dist/Cent
0.65,2,6,0,Dist/Cent
0.65,2.2,6,0,Dist/Cent
0.65,2.4,2,0,Distributed
0.65,2.6,2,0,Distributed
0.65,2.8,2,-1,Distributed
0.65,3,2,-1,Distributed
